City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,villa guerrero,18.8667,-99.65,19.600000000000023,83,60,1.97,MX,2022-11-29 03:34:19
64,tasiilaq,65.6145,-37.6368,1.0900000000000318,88,100,5.2,GL,2022-11-29 03:34:19
65,tautira,-17.7333,-149.15,25.78000000000003,78,82,5.04,PF,2022-11-29 03:34:20
66,bethel,41.3712,-73.414,4.410000000000025,75,0,2.06,US,2022-11-29 03:34:20
67,ust-ordynskiy,52.805,104.7508,-16.799999999999955,87,100,7.95,RU,2022-11-29 03:34:20
68,hithadhoo,-0.6,73.0833,27.160000000000025,76,86,3.91,MV,2022-11-29 03:30:00
69,clyde river,70.4692,-68.5914,-23.869999999999976,84,20,8.23,CA,2022-11-29 03:34:21
70,yining,29.0361,114.5636,10.400000000000034,94,100,1.31,CN,2022-11-29 03:34:21
71,provideniya,64.3833,-173.3,-3.9399999999999977,68,75,7.15,RU,2022-11-29 03:33:32
72,yelizovo,53.1873,158.3805,-0.9199999999999591,42,20,8.05,RU,2022-11-29 03:34:22
73,kaitangata,-46.2817,169.8464,14.020000000000039,79,100,3.19,NZ,2022-11-29 03:34:22
74,yerbogachen,61.2767,108.0108,-27.339999999999975,99,92,1.04,RU,2022-11-29 03:34:22
75,quelimane,-17.8786,36.8883,23.970000000000027,88,75,1.54,MZ,2022-11-29 03:34:23
76,hobart,-42.8794,147.3294,17.810000000000002,51,79,1.79,AU,2022-11-29 03:32:28
77,inhambane,-23.865,35.3833,23.03000000000003,69,100,6.18,MZ,2022-11-29 03:34:24
78,maniitsoq,65.4167,-52.9,-0.7199999999999704,58,100,4.24,GL,2022-11-29 03:34:24
79,uruzgan,32.8333,66.0,10.110000000000014,26,31,1.98,AF,2022-11-29 03:34:24
80,sioux lookout,50.1001,-91.917,-1.9599999999999795,93,100,4.12,CA,2022-11-29 03:34:03
81,muros,42.7762,-9.0603,10.050000000000011,95,99,0.97,ES,2022-11-29 03:33:42
82,seoul,37.5683,126.9778,10.660000000000025,65,0,6.69,KR,2022-11-29 03:23:46
83,ust-kuyga,70.0167,135.6,-45.67999999999998,99,94,1.93,RU,2022-11-29 03:33:27
84,sarangani,5.4033,125.4636,28.430000000000007,76,100,9.02,PH,2022-11-29 03:34:25
85,thompson,55.7435,-97.8558,-8.909999999999968,79,100,8.23,CA,2022-11-29 03:34:26
86,elko,41.0002,-115.5012,-4.319999999999993,68,100,7.15,US,2022-11-29 03:30:01
87,turukhansk,65.8167,87.9833,-20.769999999999982,98,99,3.24,RU,2022-11-29 03:34:26
88,fortuna foothills,32.6578,-114.4119,18.05000000000001,50,0,4.63,US,2022-11-29 03:34:27
89,novo aripuana,-5.1206,-60.3797,23.840000000000032,89,38,1.24,BR,2022-11-29 03:34:27
90,damaturu,11.747,11.9608,16.75,29,67,3.52,NG,2022-11-29 03:34:27
91,calvinia,-31.4707,19.776,21.390000000000043,22,44,1.43,ZA,2022-11-29 03:34:28
92,upernavik,72.7868,-56.1549,-13.42999999999995,98,100,8.86,GL,2022-11-29 03:32:59
